spot,x,y,luminosity,error,T,v,v_fin,phase,detected
51.0,753.34,39.78,13398.7,26.2696,20.0,58.3,7.0,annealing_T=75_h=5,True
51.0,750.89,38.68,12373.1,28.8266,20.0,58.3,7.0,before_annealing,True
52.0,786.42,676.82,0.0,0.0,20.0,58.3,7.0,annealing_T=100_h=5,False
52.0,786.42,676.82,0.0,0.0,20.0,58.3,7.0,annealing_T=75_h=25,False
52.0,790.05,677.64,30.2985,1.82582,20.0,58.3,7.0,annealing_T=75_h=5,True
52.0,786.42,676.82,60.0577,2.45302,20.0,58.3,7.0,before_annealing,True
53.0,788.23,253.25,42.3598,2.10106,20.0,58.3,7.0,annealing_T=100_h=5,True
53.0,790.36,249.14,63.7866,3.24983,20.0,58.3,7.0,annealing_T=75_h=25,True
53.0,793.7,251.72,107.891,2.90196,20.0,58.3,7.0,annealing_T=75_h=5,True
53.0,790.65,251.21,132.187,3.44124,20.0,58.3,7.0,before_annealing,True
54.0,803.04,196.98,446.838,4.97163,20.0,58.3,7.0,annealing_T=100_h=5,True
54.0,804.8,192.51,516.367,5.19681,20.0,58.3,7.0,annealing_T=75_h=25,True
54.0,808.37,195.28,513.825,5.40415,20.0,58.3,7.0,annealing_T=75_h=5,True
54.0,805.56,194.4,543.182,4.99686,20.0,58.3,7.0,before_annealing,True
55.0,806.18,590.94,237.257,3.79117,20.0,58.3,7.0,annealing_T=100_h=5,True
55.0,811.23,587.17,526.762,5.49582,20.0,58.3,7.0,annealing_T=75_h=25,True
55.0,812.63,589.91,537.362,5.21957,20.0,58.3,7.0,annealing_T=75_h=5,True
55.0,808.75,588.99,649.359,6.06313,20.0,58.3,7.0,before_annealing,True
56.0,813.13,318.7,166.325,4.6362,20.0,58.3,7.0,annealing_T=100_h=5,True
56.0,815.45,314.18,168.754,4.11484,20.0,58.3,7.0,annealing_T=75_h=25,True
56.0,818.61,316.9,123.415,3.6356,20.0,58.3,7.0,annealing_T=75_h=5,True
56.0,815.32,316.23,117.38,3.59791,20.0,58.3,7.0,before_annealing,True
