spot,x,y,luminosity,error,T,v
124,1650.04,877.92,937.415,28.0223,23,5
125,1654.2,275.78,43.2561,7.19707,17,5
125,1654.2,275.78,49.4341,6.63786,19,5
125,1654.2,275.78,54.4738,7.67676,21,5
125,1654.2,275.78,61.6728,7.45969,23,5
126,1680.99,252.24,9.06847,2.24835,17,5
126,1680.99,252.24,10.0787,2.41785,19,5
126,1680.99,252.24,15.4502,2.62958,21,5
126,1680.99,252.24,16.3438,2.72937,23,5
127,1687.72,870.61,85.1551,9.48407,17,5
127,1687.72,870.61,101.848,10.0305,19,5
127,1687.72,870.61,123.242,10.4392,21,5
127,1687.72,870.61,141.362,10.5644,23,5
128,1727.3,803.15,44.587,7.02208,17,5
128,1727.3,803.15,47.6801,6.82229,19,5
128,1727.3,803.15,60.2803,7.39121,21,5
128,1727.3,803.15,74.269,7.65295,23,5
129,1737.64,719.51,3279.4,54.2005,17,5
129,1737.64,719.51,3617.53,56.9943,19,5
129,1737.64,719.51,4264.61,61.4465,21,5
129,1737.64,719.51,4515.89,62.217,23,5
130,1744.7,243.59,151.355,12.2878,17,5
130,1744.7,243.59,172.032,12.7825,19,5
130,1744.7,243.59,188.91,13.5274,21,5
130,1744.7,243.59,224.886,13.6394,23,5
131,1770.51,205.71,1994.7,41.8945,17,5
131,1770.51,205.71,2275.0,43.7973,19,5
131,1770.51,205.71,2522.77,47.9609,21,5
131,1770.51,205.71,2848.01,48.4404,23,5
132,1773.44,825.71,52.1129,6.46029,17,5
132,1773.44,825.71,66.1136,6.93026,19,5
132,1773.44,825.71,79.3589,7.26078,21,5
132,1773.44,825.71,87.2089,7.46593,23,5
133,1775.68,474.89,333.094,17.7158,17,5
133,1775.68,474.89,397.562,18.7633,19,5
133,1775.68,474.89,439.431,20.1477,21,5
133,1775.68,474.89,483.959,19.9297,23,5
134,1785.83,1058.64,123.421,10.0455,17,5
134,1785.83,1058.64,145.921,10.5443,19,5
134,1785.83,1058.64,165.577,11.2074,21,5
134,1785.83,1058.64,186.954,11.7948,23,5
135,1786.16,552.26,155.564,13.0555,17,5
135,1786.16,552.26,177.111,13.263,19,5
135,1786.16,552.26,219.381,14.4782,21,5
135,1786.16,552.26,279.143,15.1002,23,5
136,1823.13,353.22,307.801,16.3989,17,5
136,1823.13,353.22,364.187,16.8306,19,5
136,1823.13,353.22,396.776,18.4131,21,5
136,1823.13,353.22,421.745,18.0181,23,5
137,1828.34,989.9,113.46,9.06755,17,5
137,1828.34,989.9,56.7381,6.9098,19,5
137,1828.34,989.9,66.2387,7.2715,21,5
137,1828.34,989.9,78.3287,7.22787,23,5
138,1852.48,884.0,220.424,18.8715,17,5
138,1852.48,884.0,250.409,20.944,19,5
138,1852.48,884.0,337.259,21.9416,21,5
138,1852.48,884.0,198.377,17.4552,23,5
139,1855.08,554.11,499.937,23.0369,17,5
139,1855.08,554.11,539.721,22.8267,19,5
139,1855.08,554.11,633.452,25.2366,21,5
139,1855.08,554.11,674.184,25.0811,23,5
140,1860.97,92.75,26.6286,5.39234,17,5
140,1860.97,92.75,32.766,5.43668,19,5
140,1860.97,92.75,36.2243,5.60382,21,5
140,1860.97,92.75,41.152,5.73076,23,5
141,1891.32,251.85,389.556,19.6405,17,5
141,1891.32,251.85,441.546,19.354,19,5
141,1891.32,251.85,516.642,21.3607,21,5
141,1891.32,251.85,558.941,21.6848,23,5
142,1894.41,287.03,316.252,20.6709,17,5
142,1894.41,287.03,370.977,20.1051,19,5
142,1894.41,287.03,457.163,22.1575,21,5
142,1894.41,287.03,530.208,22.3959,23,5
143,1904.92,1043.9,14.6377,3.10186,17,5
143,1904.92,1043.9,14.1874,2.97316,19,5
143,1904.92,1043.9,16.909,3.35148,21,5

